"ID","Category","Name","Status","Total","NonCompliant","C","D","R","E_i","E_norm","Effort","Objects","Remediation"
"2.4","base","Host image profile acceptance level must be  PartnerSupported or higher ","COMPLIANT","2","0","1","0","1","0,65","0","BASSO","","# Set the Software AcceptanceLevel for each host  Foreach ($VMHost in Get-VMHost ) {  $ESXCli = Get-EsxCli -VMHost $VMHost  $ESXCli.software.acceptance.Set(""PartnerSupported"")  }"
"2.6","base","Host must have reliable time synchronization sources","COMPLIANT","2","0","1","1","1","1","0,175","BASSO","","# Set the NTP Settings for all hosts  # If an internal NTP server is used, replace pool.ntp.org with   # the IP address or the Fully Qualified Domain Name (FQDN) of the internal  NTP server  $NTPServers = ""pool.ntp.org"", ""pool2.ntp.org""  Get-VMHost | Add-VmHostNtpServer $NTPServers"
"2.10","base","Host must restrict inter-VM transparent page sharing","COMPLIANT","2","0","1","0","1","0,65","0","BASSO","","Get-VMHost | Get-AdvancedSetting -Name Mem.ShareForceSalting | Set AdvancedSetting -Value 2"
"3.1","management","Host should deactivate SSH ","COMPLIANT","2","0","1","1","1","1","0,175","BASSO","","# Set SSH to start manually rather than automatically for all hosts  Get-VMHost | Get-VMHostService | Where { $_.key -eq ""TSM-SSH"" } | Set VMHostService -Policy Off"
"3.2","management","Host must deactivate the ESXi shell","COMPLIANT","2","0","1","1","1","1","0,175","BASSO","","# Set the ESXi shell to start manually rather than automatically for all  hosts  Get-VMHost | Get-VMHostService | Where { $_.key -eq ""TSM"" } | Set VMHostService -Policy Off"
"3.3","management","Host must deactivate the ESXi Managed Object Browser  (MOB)","COMPLIANT","2","0","2","0","2","1,3","0,325","BASSO","","You must disable MOB from the vSphere interface not via the vim-cmd  proxysvc/service_list  command."
"3.7","management","Host must automatically terminate idle DCUI sessions ","COMPLIANT","2","0","1","0","1","0,65","0","BASSO","","Get-VMHost | Get-AdvancedSetting -Name UserVars.DcuiTimeOut | Set AdvancedSetting -Value 600"
"3.8","management","Host must automatically terminate idle shells","COMPLIANT","2","0","1","0","1","0,65","0","BASSO","","# Set Remove UserVars.ESXiShellInteractiveTimeOut to 300 on all hosts  Get-VMHost | Get-AdvancedSetting -Name 'UserVars.ESXiShellInteractiveTimeOut'  | Set-AdvancedSetting -Value ""300"""
"3.9","management","Host must automatically deactivate shell services","COMPLIANT","2","0","1","0","1","0,65","0","BASSO","","# Set UserVars.ESXiShellTimeOut to 3600 on all hosts  Get-VMHost | Get-AdvancedSetting -Name 'UserVars.ESXiShellTimeOut' | Set AdvancedSetting -Value ""3600"""
"3.12","management","Host must lock an account after a specified number of  failed login attempts","COMPLIANT","2","0","1","0","1","0,65","0","BASSO","","Get-VMHost | Get-AdvancedSetting -Name Security.AccountLockFailures | Set AdvancedSetting -Value 5"
